BEACON,SECTOR NUMBER,SECTOR TYPE,SECTOR TITLE,FLEET ADVANCEMENT,TOTAL SHIPS DEFEATED,TOTAL SCRAP COLLECTED,TOTAL CREW HIRED,SCORE,HAZARDS,EVENT TEXT,STORE,SCRAP,HULL,FUEL,DRONE PARTS,MISSILES,CREW SIZE,OXYGEN LEVEL,POWER CAPACITY,SHIELDS CAPACITY,SHIELD POWER,SHIELD DAMAGE,ENGINES CAPACITY,ENGINES POWER,ENGINES DAMAGE,OXYGEN SYSTEM CAPACITY,OXYGEN SYSTEM POWER,OXYGEN SYSTEM DAMAGE,WEAPONS SYSTEM CAPACITY,WEAPONS SYSTEM POWER,WEAPONS SYSTEM DAMAGE,WEAPON SLOT 1,WEAPON SLOT 2,WEAPON SLOT 3,DRONE CONTROL SYSTEM CAPACITY,DRONE CONTROL SYSTEM POWER,DRONE CONTROL SYSTEM DAMAGE,DRONE SLOT 1,DRONE SLOT 2,DRONE SLOT 3,MEDBAY SYSTEM CAPACITY,MEDBAY SYSTEM POWER,MEDBAY SYSTEM DAMAGE,TELEPORTER SYSTEM CAPACITY,TELEPORTER SYSTEM POWER,TELEPORTER SYSTEM DAMAGE,CLOAKING SYSTEM CAPACITY,CLOAKING SYSTEM POWER,CLOAKING SYSTEM DAMAGE,ARTILLERY SYSTEM CAPACITY,ARTILLERY SYSTEM POWER,ARTILLERY SYSTEM DAMAGE,CLONEBAY SYSTEM CAPACITY,CLONEBAY SYSTEM POWER,CLONEBAY SYSTEM DAMAGE,MINDCONTROL SYSTEM CAPACITY,MINDCONTROL SYSTEM POWER,MINDCONTROL SYSTEM DAMAGE,HACKING SYSTEM CAPACITY,HACKING SYSTEM POWER,HACKING SYSTEM DAMAGE,PILOT SYTEM CAPACITY,PILOT SYSTEM DAMAGE,SENSORS SYSTEM CAPACITY,SENSORS SYSTEM DAMAGE,DOORS SYSTEM CAPACITY,DOORS SYSTEM DAMAGE,BATTERY SYSTEM CAPACITY,BATTERY SYSTEM DAMAGE,AUGMENTS,CARGO,CREW MEMBER 1 NAME,CREW MEMBER 1 SPECIES,CREW MEMBER 1 HEALTH,CREW MEMBER 1 PILOT SKILL,CREW MEMBER 1 ENGINE SKILL,CREW MEMBER 1 SHIELD SKILL,CREW MEMBER 1 WEAPON SKILL,CREW MEMBER 1 REPAIR SKILL,CREW MEMBER 1 COMBAT SKILL,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,CREW MEMBER 1 PILOTED EVASIONS,CREW MEMBER 1 JUMPS SURVIVED,CREW MEMBER 1 SKILLS MASTERED,CREW MEMBER 2 NAME,CREW MEMBER 2 SPECIES,CREW MEMBER 2 HEALTH,CREW MEMBER 2 PILOT SKILL,CREW MEMBER 2 ENGINE SKILL,CREW MEMBER 2 SHIELD SKILL,CREW MEMBER 2 WEAPON SKILL,CREW MEMBER 2 REPAIR SKILL,CREW MEMBER 2 COMBAT SKILL,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,CREW MEMBER 2 PILOTED EVASIONS,CREW MEMBER 2 JUMPS SURVIVED,CREW MEMBER 2 SKILLS MASTERED,CREW MEMBER 3 NAME,CREW MEMBER 3 SPECIES,CREW MEMBER 3 HEALTH,CREW MEMBER 3 PILOT SKILL,CREW MEMBER 3 ENGINE SKILL,CREW MEMBER 3 SHIELD SKILL,CREW MEMBER 3 WEAPON SKILL,CREW MEMBER 3 REPAIR SKILL,CREW MEMBER 3 COMBAT SKILL,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,CREW MEMBER 3 PILOTED EVASIONS,CREW MEMBER 3 JUMPS SURVIVED,CREW MEMBER 3 SKILLS MASTERED,CREW MEMBER 4 NAME,CREW MEMBER 4 SPECIES,CREW MEMBER 4 HEALTH,CREW MEMBER 4 PILOT SKILL,CREW MEMBER 4 ENGINE SKILL,CREW MEMBER 4 SHIELD SKILL,CREW MEMBER 4 WEAPON SKILL,CREW MEMBER 4 REPAIR SKILL,CREW MEMBER 4 COMBAT SKILL,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,CREW MEMBER 4 PILOTED EVASIONS,CREW MEMBER 4 JUMPS SURVIVED,CREW MEMBER 4 SKILLS MASTERED,CREW MEMBER 5 NAME,CREW MEMBER 5 SPECIES,CREW MEMBER 5 HEALTH,CREW MEMBER 5 PILOT SKILL,CREW MEMBER 5 ENGINE SKILL,CREW MEMBER 5 SHIELD SKILL,CREW MEMBER 5 WEAPON SKILL,CREW MEMBER 5 REPAIR SKILL,CREW MEMBER 5 COMBAT SKILL,CREW MEMBER 5 REPAIRS,CREW MEMBER 5 COMBAT KILLS,CREW MEMBER 5 PILOTED EVASIONS,CREW MEMBER 5 JUMPS SURVIVED,CREW MEMBER 5 SKILLS MASTERED,CREW MEMBER 6 NAME,CREW MEMBER 6 SPECIES,CREW MEMBER 6 HEALTH,CREW MEMBER 6 PILOT SKILL,CREW MEMBER 6 ENGINE SKILL,CREW MEMBER 6 SHIELD SKILL,CREW MEMBER 6 WEAPON SKILL,CREW MEMBER 6 REPAIR SKILL,CREW MEMBER 6 COMBAT SKILL,CREW MEMBER 6 REPAIRS,CREW MEMBER 6 COMBAT KILLS,CREW MEMBER 6 PILOTED EVASIONS,CREW MEMBER 6 JUMPS SURVIVED,CREW MEMBER 6 SKILLS MASTERED,NEARBY SHIP TYPE,NEARBY SHIP HULL,NEARBY SHIP FUEL,NEARBY SHIP DRONE PARTS,NEARBY SHIP MISSILES,NEARBY SHIP CREW SIZE,OXYGEN LEVEL,NEARBY SHIP POWER CAPACITY,NEARBY SHIP SHIELDS CAPACITY,NEARBY SHIP SHIELD POWER,NEARBY SHIP SHIELD DAMAGE,NEARBY SHIP ENGINES CAPACITY,NEARBY SHIP ENGINES POWER,NEARBY SHIP ENGINES DAMAGE,NEARBY SHIP OXYGEN SYSTEM CAPACITY,NEARBY SHIP OXYGEN SYSTEM POWER,NEARBY SHIP OXYGEN SYSTEM DAMAGE,NEARBY SHIP WEAPONS SYSTEM CAPACITY,NEARBY SHIP WEAPONS SYSTEM POWER,NEARBY SHIP WEAPONS SYSTEM DAMAGE,NEARBY SHIP WEAPON SLOT 1,NEARBY SHIP WEAPON SLOT 2,NEARBY SHIP WEAPON SLOT 3,NEARBY SHIP WEAPON SLOT 4,NEARBY SHIP DRONE CONTROL SYSTEM CAPACITY,NEARBY SHIP DRONE CONTROL SYSTEM POWER,NEARBY SHIP DRONE CONTROL SYSTEM DAMAGE,NEARBY SHIP MEDBAY SYSTEM CAPACITY,NEARBY SHIP MEDBAY SYSTEM POWER,NEARBY SHIP MEDBAY SYSTEM DAMAGE,NEARBY SHIP TELEPORTER SYSTEM CAPACITY,NEARBY SHIP TELEPORTER SYSTEM POWER,NEARBY SHIP TELEPORTER SYSTEM DAMAGE,NEARBY SHIP CLOAKING SYSTEM CAPACITY,NEARBY SHIP CLOAKING SYSTEM POWER,NEARBY SHIP CLOAKING SYSTEM DAMAGE,NEARBY SHIP ARTILLERY SYSTEM CAPACITY,NEARBY SHIP ARTILLERY SYSTEM POWER,NEARBY SHIP ARTILLERY SYSTEM DAMAGE,NEARBY SHIP CLONEBAY SYSTEM CAPACITY,NEARBY SHIP CLONEBAY SYSTEM POWER,NEARBY SHIP CLONEBAY SYSTEM DAMAGE,NEARBY SHIP MINDCONTROL SYSTEM CAPACITY,NEARBY SHIP MINDCONTROL SYSTEM POWER,NEARBY SHIP MINDCONTROL SYSTEM DAMAGE,NEARBY SHIP HACKING SYSTEM CAPACITY,NEARBY SHIP HACKING SYSTEM POWER,NEARBY SHIP HACKING SYSTEM DAMAGE,NEARBY SHIP PILOT SYTEM CAPACITY,NEARBY SHIP PILOT SYSTEM DAMAGE,NEARBY SHIP SENSORS SYSTEM CAPACITY,NEARBY SHIP SENSORS SYSTEM DAMAGE,NEARBY SHIP DOORS SYSTEM CAPACITY,NEARBY SHIP DOORS SYSTEM DAMAGE,NEARBY SHIP BATTERY SYSTEM CAPACITY,NEARBY SHIP BATTERY SYSTEM DAMAGE,NEARBY SHIP AUGMENTS,ENEMY CREW MEMBER 1 NAME,ENEMY CREW MEMBER 1 SPECIES,ENEMY CREW MEMBER 1 HEALTH,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,ENEMY CREW MEMBER 2 NAME,ENEMY CREW MEMBER 2 SPECIES,ENEMY CREW MEMBER 2 HEALTH,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,ENEMY CREW MEMBER 3 NAME,ENEMY CREW MEMBER 3 SPECIES,ENEMY CREW MEMBER 3 HEALTH,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,ENEMY CREW MEMBER 4 NAME,ENEMY CREW MEMBER 4 SPECIES,ENEMY CREW MEMBER 4 HEALTH,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,ENEMY CREW MEMBER 5 NAME,ENEMY CREW MEMBER 5 SPECIES,ENEMY CREW MEMBER 5 HEALTH,CREW MEMBER 5 REPAIRS,CREW MEMBER 5 COMBAT KILLS,HAS SURRENDERED,HULL DAMAGE NEEDED FOR SURRENDER,IS TRYING TO ESCAPE,HULL DAMAGE NEEDED FOR ESCAPE ATTEMPT,ENEMY BOARDING ATTEMPTS,ENEMY BOARDING STRENGTH
56,4,CIVILIAN,Zoltan Controlled Sector,63%,23,800,3,2730,"","The ship explodes, leaving behind a substantial collection of useful scrap material.","",87,9,18,9,15,3,57,15,5,4,0,3,2,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,2,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,55,2,Jon Caldwell,Engi,100,0,28,0,1,9,0,9,0,0,55,1,Butters,Engi,100,0,0,0,130,19,0,19,0,0,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,CIVILIAN,Zoltan Controlled Sector,73%,24,863,3,2870,"","The outpost hails you after the scout was destroyed, Thanks for the help. We've been harassed non-stop by those scouts. Take this on the house.","",150,9,22,8,18,3,82,15,5,3,0,3,2,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,56,2,Jon Caldwell,Engi,100,0,28,0,1,10,0,10,0,0,56,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,CIVILIAN,Civilian Sector,0%,24,863,3,2885,"","Welcome to a new sector! Get to the exit beacon and jump to the next sector before the pursuing Rebels catch you! You deploy your Distraction Buoys, giving you more time to explore this sector before the fleet catches up.","",150,9,21,8,18,3,82,15,5,4,0,3,2,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,57,2,Jon Caldwell,Engi,100,0,28,0,1,10,0,10,0,0,57,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,CIVILIAN,Civilian Sector,0%,24,903,3,2960,"","","",50,9,24,8,18,3,84,17,5,4,0,3,2,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,58,2,Jon Caldwell,Engi,100,0,28,0,1,10,0,10,0,0,58,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,CIVILIAN,Civilian Sector,0%,24,903,3,2975,"","","",50,9,23,8,18,3,95,17,5,4,0,3,3,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,59,2,Jon Caldwell,Engi,100,0,28,0,1,10,0,10,0,0,59,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,CIVILIAN,Civilian Sector,0%,24,922,4,3018,"","Within the ship graveyard you find one ship that seems relatively untouched. On board you find an unconscious passenger, and take them back to the ship. Once awake they offer to join your crew in thanks.","",69,9,22,9,20,4,96,17,5,4,0,3,2,0,1,0,0,6,2,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,57,60,2,Jon Caldwell,Engi,100,0,28,0,1,10,0,10,0,0,60,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,60,3,Kusy,Engi,100,0,30,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,CIVILIAN,Civilian Sector,0%,25,956,4,3114,"","The ship explodes, leaving behind a substantial collection of useful scrap material.","",103,7,24,8,22,4,11,17,5,4,0,3,2,0,1,1,0,6,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,59,61,2,Jon Caldwell,Engi,56,0,28,0,1,12,0,12,0,0,61,1,Butters,Engi,65,0,0,0,130,20,0,20,0,0,61,3,Kusy,Engi,42,0,30,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5,CIVILIAN,Civilian Sector,0%,25,956,4,3129,"","The station was either abandoned or stripped clean. It seems to have lain unused for quite some time. You find nothing useful.","",13,7,23,8,22,4,32,17,5,4,0,3,2,0,1,1,0,7,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,59,62,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,62,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,62,3,Kusy,Engi,96,0,30,0,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO_ASSAULT_DLC,12,16,4,10,0,0,17,5,4,0,4,1,0,0,0,0,5,0,0,LASER HEAVY 2,ION 2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,false,2,false,1,0,0
64,5,CIVILIAN,Civilian Sector,6%,25,956,4,3144,"","The space station here has a traveling merchant who shows you his wares.","Weapon: LASER CHARGEGUN, LASER HULL 1, MISSILES HULL, Crew: Mantis, Rock, Rock, ",1,11,22,8,22,4,33,17,5,4,0,3,2,0,1,1,0,7,4,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,59,63,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,63,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,63,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,CIVILIAN,Civilian Sector,16%,26,1017,4,3281,"","The outpost hails you after the scout was destroyed, Thanks for the help. We've been harassed non-stop by those scouts. Take this on the house.","",62,11,24,9,24,4,82,17,5,4,0,3,2,0,1,1,0,7,7,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,60,64,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,64,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,64,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,CIVILIAN,Civilian Sector,26%,26,1017,4,3296,"","You find a single store that responds to your hails: Don't open any wide band channels. We'll sell to you but we don't want to draw attention to ourselves.","System: battery, mind, hacking, Crew: Engi, Mantis, Mantis, ",2,11,23,9,24,4,85,19,5,4,0,3,2,0,1,1,0,7,7,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,60,65,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,65,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,65,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,CIVILIAN,Civilian Sector,35%,27,1060,4,3405,"","This sector has become increasingly dangerous for friends of the Federation. I think my crew can patch up some of your hull damage as thanks.","",45,16,22,9,25,4,100,19,5,4,0,3,2,0,1,1,0,7,7,0,LASER CHAINGUN,LASER CHAINGUN,ION 4,3,2,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"FLEET DISTRACTION, NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,61,66,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,66,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,66,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,CIVILIAN,Civilian Sector,45%,27,1060,4,3420,"","A transmission from the nearby planet indicates an outpost below which offers supplies to travelers. You send down an away party to check it out.","Drone: REPAIR, DEFENSE 1, COMBAT 1, Crew: Mantis, Human, Zoltan, Weapon: BOMB 1, BOMB HEAL, LASER CHAINGUN 2, Augment: ADV SCANNERS, BATTERY BOOSTER, DRONE RECOVERY, ",12,16,21,9,25,4,100,19,5,4,0,3,2,0,1,1,0,7,4,0,LASER CHAINGUN,LASER CHAINGUN,LASER CHAINGUN 2,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,61,67,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,67,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,67,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5,CIVILIAN,Civilian Sector,55%,28,1108,4,3537,"","From the bits and pieces you find, you decide that this ship was gathering information. Nothing seems useful.","",60,16,20,8,25,4,86,19,5,4,0,3,3,0,1,1,0,7,6,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,62,68,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,68,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,68,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,CIVILIAN,Civilian Sector,65%,29,1151,4,3647,"","Their ship breaks apart and you are relieved to know that you are still one step ahead of the fleet.","",103,14,22,8,25,4,47,19,5,4,1,3,3,0,1,0,0,7,6,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,62,69,2,Jon Caldwell,Engi,100,0,28,0,1,12,0,12,0,0,69,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,69,3,Kusy,Engi,100,0,30,0,0,1,0,1,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,CIVILIAN,Civilian Sector,75%,29,1151,4,3662,"","","",3,14,21,8,25,4,40,19,5,4,0,3,3,0,1,1,0,8,6,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,62,70,2,Jon Caldwell,Engi,100,0,28,0,1,13,0,13,0,0,70,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,70,3,Kusy,Engi,100,0,30,0,0,2,0,2,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6,HOSTILE,Rebel Stronghold,0%,29,1151,4,3677,"","Once the Federation forces were scattered, the Rebels came down hard on the locals here. Between the 'tax collectors' and military bases, the Rebel presence in this sector is high.","",3,14,20,8,25,4,42,19,5,4,0,3,3,0,1,1,0,8,6,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,62,71,2,Jon Caldwell,Engi,100,0,28,0,1,13,0,13,0,0,71,1,Butters,Engi,100,0,0,0,130,20,0,20,0,0,71,3,Kusy,Engi,100,0,30,0,0,2,0,2,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6,HOSTILE,Rebel Stronghold,1%,30,1206,4,3804,"Pulsar Star","The ship explodes, leaving behind a substantial collection of useful scrap material.","",58,10,19,8,27,4,92,19,5,0,0,3,2,0,1,1,0,8,8,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,64,72,2,Jon Caldwell,Engi,100,0,28,0,1,14,0,14,0,0,72,1,Butters,Engi,100,0,0,0,130,21,0,21,0,0,72,3,Kusy,Engi,100,0,30,1,0,3,0,3,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,HOSTILE,Rebel Stronghold,11%,30,1206,4,3819,"","You coldly shut off communications and prepare to leave. Your crew seems upset but you assure them that nothing could have been done.","",58,10,18,8,27,4,92,19,5,0,0,3,2,0,1,1,0,8,8,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,64,73,2,Jon Caldwell,Engi,100,0,28,0,1,14,0,14,0,0,73,1,Butters,Engi,100,0,0,0,130,21,0,21,0,0,73,3,Kusy,Engi,100,0,30,1,0,3,0,3,0,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,HOSTILE,Rebel Stronghold,21%,30,1206,4,3834,"","You arrive at a small space station that is putting out wide-band broadcasts on black-market channels. You doubt they would turn away any business, regardless of allegiances.","Augment: FTL JUMPER, FIRE EXTINGUISHERS, ADV SCANNERS, Weapon: LASER CHARGEGUN, LASER HEAVY 1, MISSILES BREACH, ",58,10,17,8,27,4,93,19,5,2,0,3,2,0,1,1,0,8,8,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,2,4,2,64,74,2,Jon Caldwell,Engi,100,0,28,0,1,14,0,14,0,0,74,1,Butters,Engi,100,0,0,0,130,21,0,21,0,0,74,3,Kusy,Engi,100,0,30,1,0,3,0,3,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6,HOSTILE,Rebel Stronghold,30%,31,1245,4,3938,"","Their ship breaks apart and you are relieved to know that you are still one step ahead of the fleet.","",55,24,18,9,27,4,100,19,5,4,0,3,2,0,1,1,0,8,8,0,LASER CHAINGUN 2,LASER CHAINGUN,LASER CHAINGUN,3,0,0,COMBAT 1,DEFENSE 1,,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,"NANO MEDBAY","",Chris Phillips,Human,100,26,0,0,0,4,3,4,3,64,75,2,Jon Caldwell,Engi,74,0,28,2,1,14,0,14,0,0,75,1,Butters,Engi,70,0,0,0,130,21,0,21,0,0,75,3,Kusy,Engi,100,0,30,1,0,3,1,3,1,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
